iter	Passed	Remaining
167	1399	15265
168	1412	15302
169	1423	15321
170	1434	15347
171	1445	15360
172	1457	15388
173	1467	15396
174	1476	15401
175	1487	15416
176	1498	15431
177	1509	15451
178	1521	15480
179	1533	15503
180	1544	15523
181	1556	15549
182	1568	15575
183	1579	15593
184	1592	15622
185	1651	16104
186	1673	16222
187	1684	16235
188	1695	16249
189	1710	16297
190	1725	16342
191	1738	16372
192	1751	16402
193	1761	16402
194	1770	16390
195	1779	16380
196	1788	16368
197	1797	16361
198	1806	16353
199	1815	16341
200	1825	16339
201	1834	16331
202	1842	16308
203	1852	16305
204	1861	16295
205	1868	16276
206	1878	16267
207	1887	16259
208	1898	16272
209	1908	16266
210	1917	16260
211	1925	16243
212	1934	16225
213	1943	16218
214	1954	16228
215	1971	16279
216	1983	16294
217	1992	16286
218	2004	16298
219	2051	16601
220	2069	16661
221	2078	16650
222	2090	16656
223	2101	16659
224	2114	16679
225	2124	16679
226	2134	16668
227	2144	16666
228	2154	16660
229	2164	16658
230	2175	16656
231	2183	16640
232	2193	16636
233	2202	16625
234	2212	16619
235	2222	16611
236	2231	16598
237	2241	16591
238	2249	16577
239	2257	16555
240	2265	16534
241	2273	16515
242	2282	16500
243	2289	16474
244	2296	16448
245	2303	16424
246	2308	16385
247	2316	16368
248	2324	16344
249	2332	16330
250	2341	16313
251	2349	16298
252	2357	16278
253	2366	16264
254	2374	16247
255	2383	16236
256	2390	16215
257	2398	16195
258	2406	16176
259	2413	16154
260	2422	16138
261	2427	16101
262	2433	16074
263	2441	16055
264	2449	16035
265	2457	16017
266	2464	15997
267	2473	15982
268	2480	15964
269	2489	15948
270	2497	15931
271	2506	15922
272	2511	15886
273	2519	15871
274	2527	15854
275	2535	15840
276	2544	15826
277	2552	15812
278	2560	15796
279	2569	15783
280	2577	15764
281	2584	15744
282	2592	15729
283	2600	15714
284	2608	15697
285	2615	15677
286	2623	15660
287	2631	15640
288	2638	15619
289	2645	15600
290	2652	15576
291	2659	15559
292	2666	15536
293	2674	15516
294	2680	15493
295	2687	15473
296	2695	15454
297	2702	15437
298	2712	15429
299	2721	15419
300	2733	15431
301	2746	15440
302	2755	15431
303	2763	15415
304	2771	15399
305	2777	15378
306	2784	15356
307	2791	15336
308	2799	15318
309	2806	15301
310	2813	15279
311	2820	15259
312	2827	15240
313	2834	15221
314	2841	15201
315	2849	15185
316	2856	15167
317	2863	15147
318	2870	15128
319	2877	15108
320	2884	15086
321	2891	15067
322	2898	15047
323	2904	15026
324	2912	15009
325	2919	14989
326	2926	14974
327	2934	14957
328	2941	14940
329	2950	14929
330	2962	14939
331	2971	14930
332	2979	14913
333	2987	14903
334	2996	14890
335	3003	14875
336	3011	14861
337	3019	14848
338	3027	14835
339	3035	14818
340	3042	14804
341	3051	14791
342	3058	14777
343	3066	14760
344	3074	14748
345	3082	14737
346	3090	14723
347	3098	14709
348	3105	14692
349	3113	14679
350	3121	14663
351	3129	14651
352	3137	14636
353	3145	14623
354	3152	14609
355	3160	14596
356	3168	14583
357	3177	14573
358	3185	14563
359	3194	14552
360	3202	14540
361	3211	14531
362	3219	14520
363	3228	14512
364	3236	14499
365	3246	14493
366	3254	14482
367	3263	14473
368	3274	14473
369	3283	14465
370	3293	14460
371	3301	14449
372	3309	14437
373	3317	14424
374	3326	14412
375	3334	14402
376	3343	14393
377	3351	14381
378	3359	14369
379	3369	14364
380	3379	14361
